20
1,2,7
1,3,7
1,4,1
1,5,7
1,6,3
1,7,5
1,8,4
1,9,4
1,10,6
1,11,1
1,12,1
1,13,2
1,14,4
1,15,7
1,16,4
1,17,7
1,18,6
1,19,4
1,20,5
2,3,2
2,4,5
2,5,3
2,6,6
2,7,4
2,8,8
2,9,4
2,10,5
2,11,4
2,12,4
2,13,6
2,14,2
2,15,8
2,16,1
2,17,2
2,18,4
2,19,8
2,20,2
3,4,8
3,5,1
3,6,4
3,7,7
3,8,8
3,9,1
3,10,3
3,11,5
3,12,2
3,13,5
3,14,3
3,15,6
3,16,6
3,17,8
3,18,5
3,19,2
3,20,5
4,5,6
4,6,6
4,7,7
4,8,3
4,9,5
4,10,7
4,11,2
4,12,8
4,13,7
4,14,1
4,15,5
4,16,7
4,17,5
4,18,5
4,19,4
4,20,2
5,6,2
5,7,5
5,8,4
5,9,6
5,10,3
5,11,5
5,12,4
5,13,2
5,14,6
5,15,1
5,16,2
5,17,1
5,18,2
5,19,6
5,20,3
6,7,8
6,8,6
6,9,2
6,10,7
6,11,5
6,12,3
6,13,8
6,14,3
6,15,2
6,16,3
6,17,4
6,18,7
6,19,7
6,20,1
7,8,5
7,9,5
7,10,3
7,11,6
7,12,7
7,13,5
7,14,3
7,15,8
7,16,3
7,17,8
7,18,2
7,19,5
7,20,5
8,9,1
8,10,8
8,11,3
8,12,5
8,13,6
8,14,3
8,15,8
8,16,8
8,17,6
8,18,5
8,19,2
8,20,5
9,10,4
9,11,1
9,12,7
9,13,4
9,14,1
9,15,3
9,16,6
9,17,2
9,18,5
9,19,2
9,20,3
10,11,4
10,12,8
10,13,8
10,14,4
10,15,7
10,16,8
10,17,4
10,18,5
10,19,1
10,20,3
11,12,1
11,13,4
11,14,3
11,15,3
11,16,2
11,17,1
11,18,1
11,19,3
11,20,7
12,13,4
12,14,7
12,15,2
12,16,8
12,17,3
12,18,3
12,19,8
12,20,2
13,14,4
13,15,8
13,16,1
13,17,3
13,18,2
13,19,7
13,20,8
14,15,8
14,16,4
14,17,8
14,18,7
14,19,7
14,20,1
15,16,8
15,17,5
15,18,6
15,19,2
15,20,7
16,17,3
16,18,4
16,19,4
16,20,1
17,18,4
17,19,4
17,20,8
18,19,7
18,20,1
19,20,3
